US,Ancient Peaks,47
US,Joseph Phelps,47
Australia,Penfolds,47
US,Archery Summit,47
US,Gramercy,47
US,SolÅ_na,47
Austria,Gunter Triebaumer,47
Portugal,Quinta do Portal,47
US,Pacific Rim,47
US,Ironstone,46
Israel,Golan Heights Winery,46
US,McFadden,46
France,Domaine Charles Baur,46
US,The Eyrie Vineyards,46
US,Lava Cap,46
US,Epiphany,46
France,Domaine Zinck,46
US,EOS,46
US,Dutton Estate,46
Australia,De Bortoli,46
US,Hendry,46
Austria,HÅ¡pler,46
US,Benessere,46
France,RenÅ_ MurÅ_,46
Chile,Viâ€“a Requingua,46
Spain,Vicente Gandia,46
Chile,Siegel,45
Italy,Umani Ronchi,45
France,Louis Roederer,45
US,Wrath,45
Austria,Wieninger,45
US,Silverado,45
US,Sleight of Hand,45
US,Cline,45
US,Hermann J. Wiemer,45
Spain,Segura Viudas,45
Chile,Indomita,45
US,Beringer,45
US,The Williamsburg Winery,45
Spain,Telmo Rodrâ€™guez,45
US,Ravenswood,45
US,Husch,45
US,Veramar,45
France,Châ€°teau Tour des Gendres,44
Chile,De Martino,44
France,Châ€°teau de Pizay,44
France,Pascal Bouchard,44
Chile,Miguel Torres,44
US,Arrowood,44
US,Lucas & Lewellen,44
US,Tantara,44
Chile,Matetic,44
Italy,Marchesi de' Frescobaldi,44
France,Alex Gambal,44
US,Jaffurs,44
US,Sbragia,44
US,Wente,44
US,Tangent,43
France,Jean-Luc Colombo,43
US,Terra Valentine,43
US,Arista,43
Portugal,Terras de Alter,43
US,Silver Thread,43
US,Kiona,43
US,Big Basin,43
US,Columbia Winery,43
France,Domaine Fernand Engel,43
Chile,FranÂçois Lurton,43
US,GÅ’rd,43
US,Stag's Leap Wine Cellars,43
France,Vignerons de Buxy,43
US,Doyenne,43
Portugal,Herdade de Sâ€_o Miguel,43
US,Tarara,43
Italy,Benanti,43
Portugal,Messias,43
US,Lachini,43
Austria,Emmerich Knoll,43
Spain,Alta Alella,43
Italy,Castello Banfi,43
US,Bota Box,43
US,Soos Creek,43
US,Gamache,43
US,Reustle,42
US,Rutherford Hill,42
Austria,Pratsch,42
US,Trinchero,42
Chile,Odfjell,42
France,E. Guigal,42
Italy,Marchesi Antinori,42
US,Anthony Nappa,42
US,William Church,42
US,Failla,42
US,Woodbridge by Robert Mondavi,42
Austria,Hirsch,42
US,Terra d'Oro,42
France,Châ€°teau du CÂèdre,42
France,Bougrier,42
US,Wilson,42
Austria,Eichinger,42
US,Davis Family,41
France,Châ€°teau LagrÅ_zette,41
US,Hazlitt 1852 Vineyards,41
US,J. Bookwalter,41
US,DeLille,41
US,Donum,41
US,Browne Family Vineyards,41
Germany,Domdechant Werner,41
Portugal,Casa Agricola Alexandre Relvas,41
US,Shannon Ridge,41
US,Fulkerson,41
US,Robert Biale,41
US,Peirano,41
Austria,Kracher,41
Portugal,Real Companhia Velha,41
Italy,Banfi,41
US,Bell,41
US,Brutocao,41
US,Gainey,41
US,Northstar,41
Portugal,Adega Mâ€_e,41
New Zealand,Saint Clair,41
US,Maddalena,41
US,Alexandria Nicole,41
US,Etude,41
US,Sterling,40
US,Chamisal Vineyards,40
US,QupÅ_,40
Italy,Duca di Salaparuta,40
Germany,Dr. H. Thanisch (Erben MÅ¸ller-Burggraef),40
US,Bridlewood,40
US,Matanzas Creek,40
US,Ë†Maurice,40
US,Stonestreet,40
France,Alain Jaume et Fils,40
US,Andis,40
Italy,Donnafugata,40
US,Quady North,40
Argentina,Ruca Malen,40
US,Merriam,40
Spain,Freixenet,40
France,Gustave Lorentz,40
Italy,Beni di Batasiolo,40
Italy,Ceretto,40
US,Silvan Ridge,40
Argentina,Terrazas de Los Andes,40
Italy,Zenato,40
